"ID","Requisito generado","Artículo/Fuente","¿Extraído correctamente?","Nivel de fidelidad","Tipo de error (si aplica)","Justificación/Comentarios","Porcentaje de calidad","legibility_score","ambiguous_terms"
"SEC-CAT-BAC-001","The application will implement and apply dual access control prior to deleting users, medical records.","NIST SP 800-53 Rev.5 AC-3, HIPAA 45 CFR §164.312(a)(1), ISO/IEC 27002:2022 5.15","Sí","Alta","","Requisito coherente con el principio de control de acceso obligatorio antes de acciones críticas. Cumple fidelidad normativa.","45.0","23.74889000000001","[]"
"SEC-CAT-BAC-002","The application must incorporate robust access control mechanisms to prevent circumvention of access control checks by manipulating the URL.","OWASP A01:2021, CWE-639, NIST SP 800-53 AC-4, AC-6(1)","Sí","Alta","","Evita control de acceso roto por manipulación. Alineado con OWASP A01 y control de flujo NIST.","45.0","21.970265625000035","[]"
"SEC-CAT-BAC-003","The application must implement security measures to prevent the elevation of privileges.","OWASP A01:2021, NIST SP 800-53 AC-2(4), ISO/IEC 27002:2022 5.18","Sí","Alta","","El requerimiento cubre controles para evitar escaladas de privilegios. Fidelidad clara.","45.0","24.82241882352945","[]"
"SEC-CAT-BAC-004","The application must enforce strict and flexible access controls for authorized users, preventing unauthorized access to the API.","NIST SP 800-53 AC-3, AC-6, ISO/IEC 27002:2022 5.17","Sí","Alta","","El requisito refleja el principio de acceso mínimo y control API, normativamente sólido.","43.0","14.986685000000008","[]"
"SEC-CAT-BAC-005","The application must prevent unauthorized access to data processing devices and assign roles to protect ePHI.","HIPAA §164.312(a)(1), NIST SP 800-53 AC-2, AC-19","Sí","Alta","","Alineado con HIPAA y NIST para control físico y lógico de acceso a ePHI.","45.0","13.65732500000002","[]"
"SEC-CAT-BAC-006","The system must allow users to be assigned to workgroups and grant access based on these groups.","ISO/IEC 27002:2022 5.18, NIST SP 800-53 AC-2(7), SIREN: Control de acceso basado en roles","Sí","Alta","","Cubre control de acceso por grupos/roles, compatible con SIREN y NIST.","45.0","63.5959775","[]"
"SEC-CAT-BAC-007","The system must implement measures to control who uses the system by authenticating with individual and then group authenticators.","NIST SP 800-53 IA-2, IA-8, ISO/IEC 27002:2022 5.15","Sí","Alta","","Describe doble autenticación progresiva, alineada con controles de identificación.","43.0","7.8442335714286","[]"
"SEC-CAT-BAC-008","The system is required to establish a formal process for user registration and deregistration.","ISO/IEC 27002:2022 5.17, NIST SP 800-53 AC-2, SIREN","Sí","Alta","","Fuerte correspondencia con estándares para el ciclo de vida de cuentas.","45.0","30.91718807692311","[]"
"SEC-CAT-CRF-001","The system must implement a robust FIPS-validated cryptographic infrastructure.","HIPAA §164.312(e)(1), FIPS 140-2, NIST SP 800-53 SC-12","Sí","Alta","","Alineado con estándares FIPS para cifrado obligatorio en ePHI.","39.9","-25.49999999999997","[]"
"SEC-CAT-CRF-002","The application must ensure security of ePHI during transmission.","HIPAA §164.312(e)(1), NIST SP 800-53 SC-12, SC-13","Sí","Alta","","Correctamente refleja controles de transmisión segura para ePHI.","43.0","0.0","[]"
"SEC-CAT-CRF-003","The application must ensure secure storage of the session identifier, ensuring that at no time is the generated session ID included in requests via the URL.","OWASP A07:2021, NIST SP 800-53 SC-23, ISO/IEC 27002:2022 8.26","Sí","Alta","","Prevención de exposición de identificadores de sesión mediante URL. Práctica de seguridad esencial.","43.0","27.80325730769234","['secure']"
"SEC-CAT-CRF-004","The application must ensure message encryption when the SessionIndex is linked to privacy data.","NIST SP 800-53 SC-12, SC-13, ISO/IEC 27002:2022 10.1","Sí","Alta","","Protección del índice de sesión vinculado a datos personales mediante cifrado. Correcta alineación.","43.0","41.68375357142859","[]"
"SEC-CAT-CRF-005","The application must exclusively store cryptographic representations of passwords, following best practices and using FIPS-validated cryptographic modules.","HIPAA §164.312(d), NIST SP 800-53 IA-5(1), FIPS 140-2","Sí","Alta","","Requisito bien redactado que exige uso de hash seguro y cumplimiento con FIPS.","38.12","-24.408235294117617","[]"
"SEC-CAT-INJ-001","The application must implement data entry validation measures before storing them to guarantee the integrity and security of the information.","OWASP A03:2021, CWE-20, ISO/IEC 27002:2022 8.28","Sí","Alta","","Buena práctica contra inyecciones. Obligatoriedad normativa y técnica clara.","44.43","-2.870714285714257","[]"
