ID,Descripción,legibility_score,ambiguous_terms,similitud_maxima
SEC-CAT-BAC-001,"The application will implement and apply dual access control prior to deleting users, medical records.",23.74889000000001,[],0.67-SEC-CAT-BAC-004
SEC-CAT-BAC-002,The application must incorporate robust access control mechanisms to prevent circumvention of access control checks by manipulating the URL. The following access control bypass tactics should be avoided and counteracted: 1. Modification of the URL (parameter manipulation or forced navigation). 2. Modification of the internal state of the application. 3. Modification of the HTML page. 4. Use of attack tools to modify API requests,21.970265625000035,[],0.72-SEC-CAT-BAC-004
SEC-CAT-BAC-003,The application must implement security measures to prevent the elevation of privileges. Prevent situations where a user can act without being authenticated or an administrator can act as a regular user after logging in.,24.82241882352945,[],0.79-SEC-CAT-IAF-026
SEC-CAT-BAC-004,"The application must enforce strict and flexible access controls for authorized users, preventing unauthorized access to the API and ensuring record ownership.",14.986685000000008,[],0.76-SEC-CAT-IND-021
SEC-CAT-BAC-005,The application must prevent unauthorized access to data processing devices and assign roles to users to protect the integrity of ePHI against unauthorized alterations.,13.657325000000021,[],0.77-SEC-CAT-SDF-007
SEC-CAT-BAC-006,"The system must allow users to be assigned to workgroups and grant access to records based on these groups. This access may be through a workstation, transaction, program, process, or other mechanism.",63.5959775,[],0.65-SEC-CAT-BAC-008
SEC-CAT-BAC-007,The system must implement measures to control who uses the data processing system by ensuring that users are authenticated with an individual authenticator before using a group authenticator.,7.8442335714286,[],0.72-SEC-CAT-IAF-013
SEC-CAT-BAC-008,"The system is required to establish a formal process for user registration and deregistration, facilitating access to health information systems. This process must guarantee a consistent alignment between the authentication level, the mapping of users to roles, roles to system functions, and the level of access to be granted to the user.",30.91718807692311,[],0.67-SEC-CAT-BAC-007
SEC-CAT-CRF-001,The system must implement a robust FIPS-validated cryptographic infrastructure to encrypt and decrypt electronically protected health information to ensure adequate protection of sensitive information.,-25.49999999999997,[],0.67-SEC-CAT-CRF-005
SEC-CAT-CRF-002,The application must ensure the security of integrity and confidentiality during the transmission of ePHI over electronic networks following the technical safeguards standards established in the regulatory framework.,0.0,[],0.79-SEC-CAT-SDF-007
SEC-CAT-CRF-003,"The application must ensure secure storage of the session identifier, ensuring that at no time is the generated session ID included in requests via the URL.",27.80325730769234,['secure'],0.75-SEC-CAT-CRF-004
SEC-CAT-CRF-004,The application must ensure message encryption when the SessionIndex is linked to privacy data.,41.68375357142859,[],0.75-SEC-CAT-CRF-003
SEC-CAT-CRF-005,"The application must exclusively store cryptographic representations of passwords, following best practices and using FIPS-validated cryptographic modules.",-24.408235294117617,[],0.67-SEC-CAT-CRF-001
SEC-CAT-INJ-001,"The application must implement data entry validation measures before storing them to guarantee the integrity and security of the information processed, stored, or accessible through end-user point devices.",-2.870714285714257,[],0.72-SEC-CAT-SEM-003
SEC-CAT-INJ-002,The application must be secure against SQL injection attacks. It is necessary to avoid possible security problems related to SQL injection and adjust the application to eliminate any risk associated with this attack.,12.968937500000022,['secure'],0.71-SEC-CAT-INJ-004
