Req_1_ID,Req_1,Req_2_ID,Req_2,Similarity
SEC-CAT-BAC-001,"La aplicación implementará y aplicará un doble control de acceso antes de eliminar usuarios, historiales médicos.",SEC-CAT-LMF-019,"La aplicación debe implementar medidas de control estrictas para la eliminación, replicación y consulta de los registros de auditoría, garantizando un control total sobre la entrada, lectura, manipulación y eliminación de datos.",0.707901
SEC-CAT-BAC-002,La aplicación debe incorporar mecanismos robustos de control de acceso para evitar la elusión de las comprobaciones de control de acceso mediante la manipulación de la URL. Deben evitarse y contrarrestarse las siguientes tácticas de elusión del control de acceso: 1. Modificación de la URL (manipulación de parámetros o navegación forzada). 2. Modificación del estado interno de la aplicación. 3. Modificación de la página HTML. 4. Uso de herramientas de ataque para modificar las peticiones API,SEC-CAT-IND-012,La aplicación debe implementar una limitación adecuada de las rutas de acceso para evitar la manipulación maliciosa de rutas que pueda conducir a la revelación no autorizada de archivos o directorios.,0.7711836
SEC-CAT-BAC-002,La aplicación debe incorporar mecanismos robustos de control de acceso para evitar la elusión de las comprobaciones de control de acceso mediante la manipulación de la URL. Deben evitarse y contrarrestarse las siguientes tácticas de elusión del control de acceso: 1. Modificación de la URL (manipulación de parámetros o navegación forzada). 2. Modificación del estado interno de la aplicación. 3. Modificación de la página HTML. 4. Uso de herramientas de ataque para modificar las peticiones API,SEC-CAT-SEM-004,La aplicación debe estar protegida contra las vulnerabilidades de FORJACIÓN DE SOLICITUDES CROSS-SITE (CSRF) mediante la configuración para utilizar tokens de desafío impredecibles y verificar la referencia HTTP garantizando que la solicitud se emitió desde el propio sitio. Además deben implementarse los controles de mitigación necesarios como el uso de servicios de reputación web.,0.73208994
SEC-CAT-BAC-003,La aplicación debe implementar medidas de seguridad para prevenir la elevación de privilegios. Evitar situaciones en las que un usuario pueda actuar sin estar autenticado o un administrador pueda actuar como un usuario normal después de iniciar sesión.,SEC-CAT-BAC-005,La aplicación debe impedir el acceso no autorizado a los dispositivos de procesamiento de datos y asignar funciones a los usuarios para proteger la integridad de la ePHI frente a alteraciones no autorizadas.,0.7183682
SEC-CAT-BAC-003,La aplicación debe implementar medidas de seguridad para prevenir la elevación de privilegios. Evitar situaciones en las que un usuario pueda actuar sin estar autenticado o un administrador pueda actuar como un usuario normal después de iniciar sesión.,SEC-CAT-CRF-003,"La aplicación debe garantizar el almacenamiento seguro del identificador de sesión, asegurando que en ningún momento se incluya el identificador de sesión generado en las peticiones a través de la URL.",0.7229709
SEC-CAT-BAC-003,La aplicación debe implementar medidas de seguridad para prevenir la elevación de privilegios. Evitar situaciones en las que un usuario pueda actuar sin estar autenticado o un administrador pueda actuar como un usuario normal después de iniciar sesión.,SEC-CAT-IND-021,La aplicación debe implementar mecanismos de autenticación resistentes a la repetición para el acceso a la red de cuentas con y sin privilegios.,0.77085793
SEC-CAT-BAC-003,La aplicación debe implementar medidas de seguridad para prevenir la elevación de privilegios. Evitar situaciones en las que un usuario pueda actuar sin estar autenticado o un administrador pueda actuar como un usuario normal después de iniciar sesión.,SEC-CAT-IAF-014,"La aplicación debe requerir la reautenticación de usuarios y dispositivos cuando cambien los autenticadores, roles o categorías de seguridad de los sistemas de información.",0.7077079
SEC-CAT-BAC-003,La aplicación debe implementar medidas de seguridad para prevenir la elevación de privilegios. Evitar situaciones en las que un usuario pueda actuar sin estar autenticado o un administrador pueda actuar como un usuario normal después de iniciar sesión.,SEC-CAT-IAF-017,"La aplicación no debe permitir que las contraseñas se transmitan en texto claro en una red, siguiendo la sección 9.4.2 J) de procedimientos de inicio de sesión seguro.",0.7102555
SEC-CAT-BAC-003,La aplicación debe implementar medidas de seguridad para prevenir la elevación de privilegios. Evitar situaciones en las que un usuario pueda actuar sin estar autenticado o un administrador pueda actuar como un usuario normal después de iniciar sesión.,SEC-CAT-IAF-026,"La aplicación debe impedir que los usuarios, excepto el administrador o el usuario asociado a la contraseña, realicen cambios de contraseña.",0.7677945
SEC-CAT-BAC-003,La aplicación debe implementar medidas de seguridad para prevenir la elevación de privilegios. Evitar situaciones en las que un usuario pueda actuar sin estar autenticado o un administrador pueda actuar como un usuario normal después de iniciar sesión.,SEC-CAT-IAF-036,"La aplicación debe ser capaz de revocar a tiempo los privilegios de acceso del usuario, lo que implica impedir inmediatamente que el usuario acceda al sistema una vez revocados sus privilegios.",0.75222594
SEC-CAT-BAC-003,La aplicación debe implementar medidas de seguridad para prevenir la elevación de privilegios. Evitar situaciones en las que un usuario pueda actuar sin estar autenticado o un administrador pueda actuar como un usuario normal después de iniciar sesión.,SEC-CAT-LMF-022,Al menos un administrador de la aplicación debe estar registrado para recibir notificaciones de actualizaciones o alertas de seguridad cuando estén disponibles automáticamente. Los administradores deben registrarse para recibir notificaciones de actualización lo que les permite detener y actualizar aplicaciones y componentes de la aplicación.,0.70599604
SEC-CAT-BAC-003,La aplicación debe implementar medidas de seguridad para prevenir la elevación de privilegios. Evitar situaciones en las que un usuario pueda actuar sin estar autenticado o un administrador pueda actuar como un usuario normal después de iniciar sesión.,SEC-CAT-LMF-030,La aplicación debe notificar a los administradores del sistema y a los oficiales de seguridad del sistema (ISSO) cuando se modifican las cuentas de usuario.,0.7122574
